Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20
5/5/15,237.759995,239.5,229.130005,232.949997,232.949997,5796900,229.5979982,226.6489991,217.4194993
5/6/15,234.100006,234.470001,228.199997,230.429993,230.429993,5270900,229.1939974,227.7479982,218.557499
5/7/15,221,237.479996,220.25,236.800003,236.800003,9455900,231.3439974,229.5679979,219.8929994
5/8/15,235.990005,238.410004,233.699997,236.610001,236.610001,4668200,233.4599978,231.3859987,221.1784997
5/11/15,236.289993,242.880005,235.309998,239.490005,239.490005,5672300,235.2559998,232.1799989,222.664
5/12/15,240.110001,246.350006,238.190002,244.740005,244.740005,6363400,237.6140014,233.6059998,224.5279999
5/13/15,247.610001,248.300003,242.25,243.179993,243.179993,5440200,240.1640014,234.6789994,226.2954995
5/14/15,244.820007,244.889999,241.25,244.100006,244.100006,2895900,241.624002,236.4839997,228.1654999
5/15/15,243.929993,249.399994,242.5,248.839996,248.839996,4527600,244.070001,238.7649994,230.2680001
5/18/15,247,249.899994,246,248.75,248.75,3348000,245.922,240.5889999,232.4419999
5/19/15,248.429993,251,246.149994,247.139999,247.139999,3674200,246.4019988,242.0080001,234.3284996
5/20/15,247.130005,247.740005,241.369995,244.350006,244.350006,3755600,246.6360014,243.4000014,235.5739998
5/21/15,243.029999,246.619995,242.360001,245.619995,245.619995,1970600,246.9399992,244.2820006,236.9249993
5/22/15,245.380005,248.600006,245.009995,247.729996,247.729996,2223100,246.7179992,245.3940001,238.3899994
5/26/15,247.679993,252,246.5,247.460007,247.460007,3498700,246.4600006,246.1910003,239.1854996
5/27/15,248.509995,249.5,245.550003,247.429993,247.429993,3408200,246.5179994,246.4599991,240.0329995
5/28/15,247.029999,251.800003,245.050003,251.449997,251.449997,3647300,247.9379976,247.2869995,240.9829995
5/29/15,251,252.869995,249.429993,250.800003,250.800003,3781700,248.9739992,247.9569992,242.2204995
6/1/15,251.410004,251.600006,247.470001,249.449997,249.449997,2505100,249.3179994,248.0179993,243.3914994
6/2/15,248.919998,249.399994,246.300003,248.350006,248.350006,2125800,249.4959992,247.9779999,244.2834999
6/3/15,248.199997,250.720001,247.009995,248.990005,248.990005,1781500,249.8080016,248.1630005,245.0855003
6/4/15,247.5,249.300003,245.710007,245.919998,245.919998,2453600,248.7020018,248.3199997,245.8600006
6/5/15,246,249.699997,245.679993,249.139999,249.139999,3022000,248.370001,248.6720001,246.4770004
6/8/15,250.850006,258.75,250.309998,256.290009,256.290009,5001200,249.7380034,249.5280014,247.4610008
6/9/15,255.399994,257.73999,254.139999,256,256,2611100,251.2680022,250.3820007,248.2865005
6/10/15,251.899994,254,248.5,250.699997,250.699997,3454500,251.6100006,250.7090011,248.5845001
6/11/15,253.259995,254.369995,250.429993,251.410004,251.410004,2044100,252.7080018,250.7050018,248.9960007
6/12/15,250.210007,253.460007,250.210007,250.690002,250.690002,1422300,253.0180024,250.6940017,249.3255005
6/15/15,249.699997,251.279999,246.009995,250.380005,250.380005,2186200,251.8360016,250.7870025,249.4025009
